Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
APR18650M1A;1100;25;90;0.942;270.0;0.021481481;63.8;0.236296296;86;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;90;0.755;346.6;0.070686671;502.25;1.449076746;529;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;95;0.944;288.0;0.019444444;156.8;0.544444444;199;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;95;0.884;285.0;0.040701754;324.8;1.139649123;416;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;95;0.882;300.0;0.039333333;330.4;1.101333333;402;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;95;0.908;300.0;0.030666667;257.6;0.858666667;313;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;95;0.947;300.0;0.017666667;148.4;0.494666667;181;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;95;0.827;300.0;0.057666667;354.65;1.182166667;431;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;95;0.896;300.0;0.034666667;213.2;0.710666667;259;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;95;0.940;300.0;0.02;123;0.41;150;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;95;0.857;270.0;0.052962963;157.3;0.582592593;213;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;95;0.899;270.0;0.037407407;111.1;0.411481481;150;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;95;0.945;270.0;0.02037037;60.5;0.224074074;82;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;95;0.747;346.6;0.072994807;518.65;1.496393537;546;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;100;0.943;288.0;0.019791667;159.6;0.554166667;202;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;100;0.876;285.0;0.043508772;347.2;1.218245614;445;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;100;0.874;300.0;0.042;352.8;1.176;429;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;100;0.908;300.0;0.030666667;257.6;0.858666667;313;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;100;0.944;300.0;0.018666667;156.8;0.522666667;191;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;100;0.766;300.0;0.078;479.7;1.599;584;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;100;0.813;300.0;0.062333333;383.35;1.277833333;466;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;100;0.934;300.0;0.022;135.3;0.451;165;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;100;0.852;270.0;0.054814815;162.8;0.602962963;220;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;100;0.904;270.0;0.035555556;105.6;0.391111111;143;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;100;0.943;270.0;0.021111111;62.7;0.232222222;85;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
INR18650-26F;2600;60;100;0.949;30.0;0.17;132.6;4.42;1,613;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;100;0.883;60.0;0.195;304.2;5.07;1,851;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;60;100;0.723;90.0;0.307777778;720.2;8.002222222;2,921;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-25R;2500;60;100;0.961;30.0;0.13;97.5;3.25;1,186;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;60;100;0.942;60.0;0.096666667;145;2.416666667;882;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;60;100;0.928;90.0;0.08;180;2;730;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;60;100;0.744;120.0;0.213333333;640;5.333333333;1,947;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
UR18650ZY;2600;60;100;1,016;30.0;-3383.333333;-2639000;-87966.66667;-32,107,833;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;100;0.984;60.0;0.026666667;41.6;0.693333333;253;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;100;0.931;90.0;0.076666667;179.4;1.993333333;728;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;100;0.871;120.0;0.1075;335.4;2.795;1,020;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;100;1,082;30.0;-3603.333333;-2162000;-72066.66667;-26,304,333;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;100;1,069;60.0;-1780;-2136000;-35600;-12,994,000;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;100;1,041;90.0;-1155.555556;-2080000;-23111.11111;-8,435,556;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;100;1,005;120.0;-836.6666667;-2008000;-16733.33333;-6,107,667;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
INR18650-26F;2600;50;100;0.969;100.0;0.031;80.6;0.806;294;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;50;100;0.897;150.0;0.068666667;267.8;1.785333333;652;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-25R;2500;50;100;1,122;100.0;-1121;-2802500;-28025;-10,229,125;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;50;100;1,122;150.0;-747.3333333;-2802500;-18683.33333;-6,819,417;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
UR18650ZY;2600;50;100;1,093;100.0;-1092;-2839200;-28392;-10,363,080;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;50;100;1,081;150.0;-720;-2808000;-18720;-6,832,800;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;50;100;1,237;100.0;-1236;-2472000;-24720;-9,022,800;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;50;100;1,240;150.0;-826;-2478000;-16520;-6,029,800;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
APR18650M-A1;1100;30;10;1,012;35.0;-2888.571429;-1112100;-31774.28571;-11,597,614;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;10;1,008;65.0;-1549.230769;-1107700;-17041.53846;-6,220,162;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;10;1,007;105.0;-958.0952381;-1106600;-10539.04762;-3,846,752;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;10;1,006;140.0;-717.8571429;-1105500;-7896.428571;-2,882,196;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;26;0.998;30.0;0.006666667;2.2;0.073333333;27;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;26;0.996;65.0;0.006153846;4.4;0.067692308;25;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;26;0.993;105.0;0.006666667;7.7;0.073333333;27;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;26;0.990;140.0;0.007142857;11;0.078571429;29;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
APR18650M-A1;1100;30;40;0.995;30.0;0.016666667;5.5;0.183333333;67;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;LFP;Calendar;Keine Angabe
